Timestamp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1 hr,50,30,20,300,200,300,85.723,0.11,0.8,234.5,24.767,66.771,21.495
2 hr,50,30,20,300,200,300,85.723,0.11,0.8,234.5,24.767,66.771,21.495
3 hr,49.973,30.017,20,300,199.145,298.718,85.723,0.11,0.8,232.5,24.767,66.771,21.495
4 hr,49.931,30.045,20,300,198.972,297.889,85.499,0.11,0.8,230.52,24.654,66.999,21.439
5 hr,49.883,30.08,20,300,198.426,297.387,85.196,0.11,0.8,228.552,24.458,67.102,21.363
6 hr,49.834,30.119,20,300,198.204,297.117,84.8,0.11,0.8,226.592,24.201,67.317,21.263
7 hr,49.788,30.158,20,300,197.828,297.01,84.35,0.11,0.8,224.636,23.899,67.481,21.151
8 hr,49.748,30.198,20,300,197.608,297.014,83.858,0.11,0.8,222.682,23.565,67.701,21.027
9 hr,49.713,30.237,20,300,197.33,297.092,83.339,0.11,0.8,220.728,23.207,67.904,20.897
10 hr,49.686,30.274,20,300,197.13,297.217,82.805,0.11,0.8,218.773,22.832,68.138,20.763
11 hr,49.665,30.309,20,300,196.913,297.369,82.262,0.11,0.8,216.815,22.445,68.369,20.627
12 hr,49.65,30.342,20,300,196.735,297.533,81.719,0.11,0.8,214.856,22.049,68.618,20.491
13 hr,49.642,30.373,20,300,196.557,297.701,81.178,0.11,0.8,212.893,21.647,68.871,20.355
14 hr,49.638,30.401,20,300,196.401,297.866,80.646,0.109,0.8,210.929,21.239,69.137,20.222
15 hr,49.639,30.428,20,300,196.25,298.022,80.123,0.109,0.8,208.961,20.828,69.408,20.091
16 hr,49.643,30.452,20,300,196.112,298.168,79.613,0.109,0.8,206.992,20.413,69.688,19.963
17 hr,49.651,30.475,20,300,195.979,298.302,79.117,0.109,0.8,205.02,19.995,69.975,19.838
18 hr,49.661,30.496,20,300,195.854,298.423,78.636,0.109,0.8,203.046,19.574,70.27,19.718
19 hr,49.674,30.515,20,300,195.735,298.532,78.171,0.109,0.8,201.07,19.151,70.571,19.601
20 hr,49.687,30.534,20,300,195.621,298.627,77.724,0.109,0.8,199.093,18.724,70.879,19.489
21 hr,49.702,30.551,20,300,195.51,298.711,77.293,0.109,0.8,197.114,18.294,71.194,19.381
22 hr,49.718,30.567,20,300,195.404,298.784,76.879,0.109,0.8,195.133,17.861,71.515,19.277
23 hr,49.734,30.582,20,300,195.3,298.846,76.482,0.109,0.8,193.152,17.423,71.843,19.178
24 hr,49.75,30.597,20,300,195.199,298.899,76.101,0.109,0.8,191.17,16.982,72.177,19.082
25 hr,49.766,30.611,20,300,195.099,298.943,75.737,0.108,0.8,189.187,16.535,72.517,18.991
26 hr,49.782,30.625,20,300,195.001,298.979,75.388,0.108,0.8,187.203,16.084,72.864,18.903
27 hr,49.797,30.638,20,300,194.904,299.008,75.055,0.108,0.8,185.218,15.628,73.217,18.82
28 hr,49.811,30.651,20,300,194.808,299.031,74.736,0.108,0.8,183.234,15.166,73.576,18.74
29 hr,49.825,30.664,20,300,194.712,299.047,74.43,0.108,0.8,181.249,14.698,73.941,18.663
30 hr,49.838,30.676,20,300,194.616,299.059,74.137,0.108,0.8,179.263,14.223,74.313,18.59
