Timestamp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1 hr,50,30,20,300,200,300,85.723,0.11,0.8,234.5,24.767,66.771,21.495
2 hr,50,30,20,300,200,300,85.723,0.11,0.8,234.5,24.767,66.771,21.495
3 hr,49.998,30,20,300,200,300,85.989,0.11,0.8,234.5,24.767,66.771,21.495
4 hr,49.995,30,20,300,200,300,86.115,0.11,0.8,234.5,24.767,66.771,21.46
5 hr,49.992,30,20,300,200,300,86.279,0.11,0.8,234.5,24.767,66.771,21.434
6 hr,49.988,30,20,300,200,300,86.404,0.11,0.8,234.5,24.767,66.771,21.399
7 hr,49.984,30,20,300,200,300,86.524,0.11,0.8,234.5,24.767,66.771,21.362
8 hr,49.979,30,20,300,200,300,86.625,0.11,0.8,234.5,24.767,66.771,21.321
9 hr,49.975,30,20,300,200,300,86.714,0.11,0.8,234.5,24.767,66.771,21.277
10 hr,49.97,30,20,300,200,300,86.79,0.11,0.8,234.5,24.767,66.771,21.229
11 hr,49.966,30,20,300,200,300,86.855,0.11,0.8,234.5,24.767,66.771,21.179
12 hr,49.961,30,20,300,200,300,86.908,0.11,0.8,234.5,24.767,66.771,21.125
13 hr,49.958,30,20,300,200,300,86.95,0.11,0.8,234.5,24.767,66.771,21.069
14 hr,49.954,30,20,300,200,300,86.983,0.11,0.8,234.5,24.767,66.771,21.011
15 hr,49.951,30,20,300,200,300,87.006,0.11,0.8,234.5,24.767,66.771,20.95
16 hr,49.948,30,20,300,200,300,87.021,0.11,0.8,234.5,24.767,66.771,20.887
17 hr,49.945,30,20,300,200,300,87.028,0.11,0.8,234.5,24.767,66.771,20.822
18 hr,49.943,30,20,300,200,300,87.027,0.11,0.8,234.5,24.767,66.771,20.755
19 hr,49.941,30,20,300,200,300,87.021,0.11,0.8,234.5,24.767,66.771,20.687
20 hr,49.939,30,20,300,200,300,87.008,0.11,0.8,234.5,24.767,66.771,20.617
21 hr,49.938,30,20,300,200,300,86.99,0.11,0.8,234.5,24.767,66.771,20.546
22 hr,49.937,30,20,300,200,300,86.967,0.11,0.8,234.5,24.767,66.771,20.473
23 hr,49.937,30,20,300,200,300,86.94,0.11,0.8,234.5,24.767,66.771,20.4
24 hr,49.937,30,20,300,200,300,86.909,0.11,0.8,234.5,24.767,66.771,20.326
25 hr,49.937,30,20,300,200,300,86.875,0.11,0.8,234.5,24.767,66.771,20.25
26 hr,49.937,30,20,300,200,300,86.838,0.11,0.8,234.5,24.767,66.771,20.174
27 hr,49.938,30,20,300,200,300,86.798,0.11,0.8,234.5,24.767,66.771,20.098
28 hr,49.939,30,20,300,200,300,86.757,0.11,0.8,234.5,24.767,66.771,20.021
29 hr,49.94,30,20,300,200,300,86.714,0.11,0.8,234.5,24.767,66.771,19.943
30 hr,49.941,30,20,300,200,300,86.669,0.11,0.8,234.5,24.767,66.771,19.865
31 hr,49.942,30,20,300,200,300,86.624,0.11,0.8,234.5,24.767,66.771,19.787
32 hr,49.944,30,20,300,200,300,86.578,0.11,0.8,234.5,24.767,66.771,19.709
33 hr,49.945,30,20,300,200,300,86.532,0.11,0.8,234.5,24.767,66.771,19.631
34 hr,49.947,30,20,300,200,300,86.486,0.11,0.8,234.5,24.767,66.771,19.553
35 hr,49.949,30,20,300,200,300,86.44,0.11,0.8,234.5,24.767,66.771,19.475
36 hr,49.951,30,20,300,200,300,86.394,0.11,0.8,234.5,24.767,66.771,19.397
37 hr,49.953,30,20,300,200,300,86.349,0.11,0.8,234.5,24.767,66.771,19.319
38 hr,49.955,30,20,300,200,300,86.305,0.11,0.8,234.5,24.767,66.771,19.241
39 hr,49.957,30,20,300,200,300,86.262,0.11,0.8,234.5,24.767,66.771,19.163
40 hr,49.96,30,20,300,200,300,86.219,0.11,0.8,234.5,24.767,66.771,19.086
41 hr,49.962,30,20,300,200,300,86.178,0.11,0.8,234.5,24.767,66.771,19.009
42 hr,49.964,30,20,300,200,300,86.138,0.11,0.8,234.5,24.767,66.771,18.932
43 hr,49.966,30,20,300,200,300,86.1,0.11,0.8,234.5,24.767,66.771,18.856
44 hr,49.968,30,20,300,200,300,86.063,0.11,0.8,234.5,24.767,66.771,18.78
45 hr,49.97,30,20,300,200,300,86.027,0.11,0.8,234.5,24.767,66.771,18.704
46 hr,49.972,30,20,300,200,300,85.993,0.11,0.8,234.5,24.767,66.771,18.629
47 hr,49.974,30,20,300,200,300,85.961,0.11,0.8,234.5,24.767,66.771,18.555
48 hr,49.976,30,20,300,200,300,85.93,0.11,0.8,234.5,24.767,66.771,18.48
49 hr,49.978,30,20,300,200,300,85.901,0.11,0.8,234.5,24.767,66.771,18.406
50 hr,49.98,30,20,300,200,300,85.874,0.11,0.8,234.5,24.767,66.771,18.333
