Timestamp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1 hr,50,30,20,300,200,300,85.723,0.11,0.8,234.5,24.767,66.771,21.495
2 hr,50,30,20,300,200,300,85.723,0.11,0.8,234.5,24.767,66.771,21.495
3 hr,50.058,29.973,20,298,200,300,85.723,0.109,0.8,234.5,24.767,66.771,21.495
4 hr,50.142,29.93,20,296,199.987,299.279,86.208,0.109,0.8,234.469,24.943,66.771,21.616
5 hr,50.234,29.876,20,294,199.976,298.032,86.805,0.108,0.8,234.419,25.247,66.775,21.766
6 hr,50.323,29.817,20,292,199.961,296.41,87.571,0.107,0.8,234.357,25.645,66.779,21.958
7 hr,50.403,29.757,20,290,199.949,294.524,88.408,0.107,0.8,234.29,26.107,66.784,22.168
8 hr,50.47,29.697,20,288,199.937,292.456,89.305,0.106,0.8,234.22,26.615,66.79,22.393
9 hr,50.523,29.64,20,286,199.927,290.269,90.224,0.105,0.8,234.152,27.153,66.797,22.623
10 hr,50.561,29.587,20,284,199.92,288.008,91.15,0.105,0.8,234.087,27.71,66.803,22.856
11 hr,50.585,29.538,20,282,199.914,285.706,92.065,0.104,0.8,234.025,28.279,66.81,23.085
12 hr,50.597,29.492,20,280,199.91,283.385,92.957,0.104,0.8,233.968,28.853,66.817,23.309
13 hr,50.596,29.452,20,278,199.908,281.062,93.816,0.103,0.8,233.916,29.428,66.824,23.524
14 hr,50.586,29.415,20,276,199.908,278.748,94.635,0.103,0.8,233.869,30.002,66.83,23.729
15 hr,50.566,29.382,20,274,199.908,276.45,95.407,0.102,0.8,233.827,30.573,66.837,23.923
16 hr,50.539,29.353,20,272,199.91,274.172,96.129,0.102,0.8,233.79,31.14,66.843,24.104
17 hr,50.506,29.328,20,270,199.913,271.916,96.797,0.101,0.8,233.756,31.702,66.848,24.272
18 hr,50.468,29.305,20,268,199.916,269.683,97.408,0.101,0.8,233.727,32.258,66.854,24.425
19 hr,50.426,29.286,20,266,199.92,267.473,97.962,0.1,0.8,233.701,32.81,66.859,24.564
20 hr,50.381,29.269,20,264,199.924,265.285,98.456,0.1,0.8,233.679,33.356,66.863,24.688
